fecha,clae2,share_mujer
2007-03-01,27,.12249184
2007-03-01,28,.082520165
2007-03-01,29,.091796547
2007-03-01,30,.061917849
2007-03-01,31,.12681533
2007-03-01,32,.22442892
2007-03-01,33,.08313641
2007-03-01,35,.16038415
2007-03-01,36,.1860975
2007-03-01,37,.10844749
2007-03-01,38,.046836555
2007-03-01,39,.14832535
2007-03-01,41,.029214988
2007-03-01,42,.053012233
2007-03-01,43,.051001303
2007-03-01,45,.14119716
2007-03-01,46,.24264041
2007-03-01,47,.41691387
2007-03-01,49,.053352822
2007-03-01,50,.1629829
2007-03-01,51,.4116402
2007-03-01,52,.15795033
2007-03-01,53,.13679866
2007-03-01,55,.52584594
2007-03-01,56,.3714318
2007-03-01,58,.37498349
2007-03-01,59,.39774403
2007-03-01,60,.26484886
2007-03-01,61,.36606419
2007-03-01,62,.31410334
2007-03-01,63,.38934356
2007-03-01,64,.44656107
2007-03-01,65,.5180192
2007-03-01,66,.48575076
2007-03-01,68,.32606333
2007-03-01,69,.65711796
2007-03-01,70,.33829415
2007-03-01,71,.13615771
2007-03-01,72,.58695
2007-03-01,73,.48574194
2007-03-01,74,.37450317
2007-03-01,75,.43997362
2007-03-01,77,.17957996
2007-03-01,78,.26212847
2007-03-01,79,.52876002
2007-03-01,80,.092397623
2007-03-01,81,.47262463
2007-03-01,82,.41555515
2007-03-01,84,.42329487
2007-03-01,85,.74019814
2007-03-01,86,.71547562
2007-03-01,87,.86053109
2007-03-01,88,.73082632
2007-03-01,90,.31454784
2007-03-01,91,.57337064
2007-03-01,92,.47795784
2007-03-01,93,.30578235
2007-03-01,94,.47646886
2007-03-01,95,.17070255
2007-03-01,96,.43210965
2007-03-01,99,.53656715
2007-03-01,999999,.30232558
2007-04-01,1,.11177495
2007-04-01,2,.043385111
2007-04-01,3,.13882056
2007-04-01,5,.031578947
2007-04-01,6,.1706384
2007-04-01,7,.08052212
2007-04-01,8,.069266237
2007-04-01,9,.056101564
2007-04-01,10,.2009709
2007-04-01,11,.14800033
2007-04-01,12,.20251772
2007-04-01,13,.23739938
2007-04-01,14,.60047609
2007-04-01,15,.21907249
2007-04-01,16,.069522984
2007-04-01,17,.13450782
2007-04-01,18,.20081411
2007-04-01,19,.19526711
2007-04-01,20,.22795379
2007-04-01,21,.35700893
2007-04-01,22,.13166781
2007-04-01,23,.069648005
2007-04-01,24,.059963629
2007-04-01,25,.080163807
2007-04-01,26,.2548174
2007-04-01,27,.12153275
2007-04-01,28,.084062867
2007-04-01,29,.092849165
2007-04-01,30,.063606657
2007-04-01,31,.12552898
2007-04-01,32,.22234729
2007-04-01,33,.084382594
2007-04-01,35,.16066518
2007-04-01,36,.18550272
2007-04-01,37,.11136624
2007-04-01,38,.046843179
2007-04-01,39,.092307694
2007-04-01,41,.029514013
2007-04-01,42,.052777357
2007-04-01,43,.051267046
