fecha,clae2,share_mujer
2007-01-01,1,.11393382
2007-01-01,2,.047311638
2007-01-01,3,.15713093
2007-01-01,5,.033707865
2007-01-01,6,.16479957
2007-01-01,7,.072694719
2007-01-01,8,.072309874
2007-01-01,9,.053749025
2007-01-01,10,.20790765
2007-01-01,11,.14313255
2007-01-01,12,.16259427
2007-01-01,13,.23955896
2007-01-01,14,.60463107
2007-01-01,15,.21867594
2007-01-01,16,.069323979
2007-01-01,17,.1360445
2007-01-01,18,.20472296
2007-01-01,19,.1962052
2007-01-01,20,.225426
2007-01-01,21,.35725942
2007-01-01,22,.13215134
2007-01-01,23,.069670506
2007-01-01,24,.0605441
2007-01-01,25,.082988992
2007-01-01,26,.25215828
2007-01-01,27,.12337513
2007-01-01,28,.083284996
2007-01-01,29,.091921575
2007-01-01,30,.06805826
2007-01-01,31,.12685964
2007-01-01,32,.22334909
2007-01-01,33,.084871568
2007-01-01,35,.1572179
2007-01-01,36,.18149792
2007-01-01,37,.10996564
2007-01-01,38,.054051746
2007-01-01,39,.11455847
2007-01-01,41,.0300101
2007-01-01,42,.053536676
2007-01-01,43,.051265094
2007-01-01,45,.14207083
2007-01-01,46,.24499448
2007-01-01,47,.42029107
2007-01-01,49,.053918295
2007-01-01,50,.16530374
2007-01-01,51,.37605077
2007-01-01,52,.15100059
2007-01-01,53,.15070936
2007-01-01,55,.53973854
2007-01-01,56,.36709487
2007-01-01,58,.36623058
2007-01-01,59,.40765691
2007-01-01,60,.26750097
2007-01-01,61,.36448413
2007-01-01,62,.31352261
2007-01-01,63,.37720656
2007-01-01,64,.42107037
2007-01-01,65,.51453936
2007-01-01,66,.48995709
2007-01-01,68,.33054715
2007-01-01,69,.6544311
2007-01-01,70,.34068131
2007-01-01,71,.13993321
2007-01-01,72,.57029581
2007-01-01,73,.47770774
2007-01-01,74,.38041097
2007-01-01,75,.44200411
2007-01-01,77,.18290487
2007-01-01,78,.26517338
2007-01-01,79,.52351755
2007-01-01,80,.091764547
2007-01-01,81,.47166383
2007-01-01,82,.40684679
2007-01-01,84,.38392481
2007-01-01,85,.74194634
2007-01-01,86,.71508712
2007-01-01,87,.86647654
2007-01-01,88,.72473335
2007-01-01,90,.35812932
2007-01-01,91,.57519257
2007-01-01,92,.47804862
2007-01-01,93,.31580529
2007-01-01,94,.47629291
2007-01-01,95,.16563605
2007-01-01,96,.43020496
2007-01-01,99,.53544497
2007-01-01,999999,.30518234
2007-02-01,1,.11678977
2007-02-01,2,.050354671
2007-02-01,3,.15077633
2007-02-01,5,.030769231
2007-02-01,6,.16499665
2007-02-01,7,.077649526
2007-02-01,8,.069622755
2007-02-01,9,.055320494
2007-02-01,10,.20801646
2007-02-01,11,.1441845
2007-02-01,12,.19519366
2007-02-01,13,.23857436
2007-02-01,14,.60421193
2007-02-01,15,.218043
2007-02-01,16,.069940239
2007-02-01,17,.13412033
2007-02-01,18,.20564456
2007-02-01,19,.19634318
2007-02-01,20,.22442651
2007-02-01,21,.3558794
2007-02-01,22,.13155116
2007-02-01,23,.069372244
2007-02-01,24,.060520951
2007-02-01,25,.083078645
2007-02-01,26,.25432923
2007-02-01,27,.12341896
2007-02-01,28,.082545541
2007-02-01,29,.091883756
2007-02-01,30,.067268416
2007-02-01,31,.12762105
2007-02-01,32,.22639586
2007-02-01,33,.08366099
2007-02-01,35,.15775977
2007-02-01,36,.18213154
2007-02-01,37,.11021814
2007-02-01,38,.055001277
2007-02-01,39,.15801887
2007-02-01,41,.029684111
2007-02-01,42,.053254489
2007-02-01,43,.051947854
2007-02-01,45,.14221498
2007-02-01,46,.24496746
2007-02-01,47,.41888863
2007-02-01,49,.054272544
2007-02-01,50,.16731142
2007-02-01,51,.37414357
2007-02-01,52,.15117502
2007-02-01,53,.15030548
2007-02-01,55,.53983623
2007-02-01,56,.36752293
2007-02-01,58,.373647
2007-02-01,59,.4047991
2007-02-01,60,.26689571
2007-02-01,61,.36674419
2007-02-01,62,.31394714
2007-02-01,63,.37569833
2007-02-01,64,.42455474
2007-02-01,65,.51640224
2007-02-01,66,.48878497
2007-02-01,68,.32972854
2007-02-01,69,.65574503
2007-02-01,70,.33971977
2007-02-01,71,.13804297
2007-02-01,72,.57720143
2007-02-01,73,.47723037
2007-02-01,74,.33841732
2007-02-01,75,.4492161
2007-02-01,77,.18306947
2007-02-01,78,.26485467
2007-02-01,79,.52432287
2007-02-01,80,.092178673
2007-02-01,81,.47455871
2007-02-01,82,.41583937
2007-02-01,84,.38412431
2007-02-01,85,.74114329
2007-02-01,86,.71538019
2007-02-01,87,.86717671
2007-02-01,88,.73260975
2007-02-01,90,.35303169
2007-02-01,91,.57410359
2007-02-01,92,.47864476
2007-02-01,93,.31027943
2007-02-01,94,.47521913
2007-02-01,95,.16724215
2007-02-01,96,.43032444
2007-02-01,99,.53493613
2007-02-01,999999,.31141201
2007-03-01,1,.11575717
2007-03-01,2,.050085764
2007-03-01,3,.14386517
2007-03-01,5,.032608695
2007-03-01,6,.16543752
2007-03-01,7,.079508618
2007-03-01,8,.071980961
2007-03-01,9,.054967366
2007-03-01,10,.20414625
2007-03-01,11,.14844814
2007-03-01,12,.19654782
2007-03-01,13,.23713411
2007-03-01,14,.60295916
2007-03-01,15,.21948147
2007-03-01,16,.06923569
2007-03-01,17,.13347211
2007-03-01,18,.20618254
2007-03-01,19,.194198
2007-03-01,20,.22441858
2007-03-01,21,.35693121
2007-03-01,22,.13196041
2007-03-01,23,.069023363
2007-03-01,24,.060594048
2007-03-01,25,.079908274
2007-03-01,26,.25483459
2007-03-01,27,.12249184
2007-03-01,28,.082520165
2007-03-01,29,.091796547
2007-03-01,30,.068639837
2007-03-01,31,.12681533
2007-03-01,32,.22442892
2007-03-01,33,.08313641
2007-03-01,35,.15786014
2007-03-01,36,.18180539
2007-03-01,37,.10844749
2007-03-01,38,.055093292
2007-03-01,39,.14832535
2007-03-01,41,.029271165
2007-03-01,42,.053012233
2007-03-01,43,.050995193
2007-03-01,45,.14119716
2007-03-01,46,.24248454
2007-03-01,47,.41691616
2007-03-01,49,.053872589
2007-03-01,50,.1629829
2007-03-01,51,.37350377
2007-03-01,52,.14976999
2007-03-01,53,.1499528
2007-03-01,55,.52584594
2007-03-01,56,.3714318
2007-03-01,58,.37506595
2007-03-01,59,.39629164
2007-03-01,60,.26470703
2007-03-01,61,.36606419
2007-03-01,62,.31401876
2007-03-01,63,.38098189
2007-03-01,64,.42827222
2007-03-01,65,.51720947
2007-03-01,66,.48543429
2007-03-01,68,.3260498
2007-03-01,69,.65711796
2007-03-01,70,.33847329
2007-03-01,71,.13615771
2007-03-01,72,.58494496
2007-03-01,73,.48583546
2007-03-01,74,.37450317
2007-03-01,75,.43997362
2007-03-01,77,.17957996
2007-03-01,78,.26212847
2007-03-01,79,.52778727
2007-03-01,80,.092397623
2007-03-01,81,.47262463
