fecha,clae3,share_mujer
2007-01-01,851,.80449003
2007-01-01,852,.70834887
2007-01-01,853,.51193851
2007-01-01,854,.74552268
2007-01-01,855,.53634894
2007-01-01,861,.74603146
2007-01-01,862,.81852508
2007-01-01,863,.7511335
2007-01-01,864,.37778383
2007-01-01,869,.70880342
2007-01-01,870,.86647654
2007-01-01,880,.72473335
2007-01-01,900,.35812932
2007-01-01,910,.57519257
2007-01-01,920,.47804862
2007-01-01,931,.27205944
2007-01-01,939,.43030962
2007-01-01,941,.5208649
2007-01-01,942,.44439
2007-01-01,949,.47825485
2007-01-01,951,.16822067
2007-01-01,952,.16405879
2007-01-01,960,.43020496
2007-01-01,990,.53544497
2007-01-01,999999,.30518234
2007-02-01,11,.12046528
2007-02-01,12,.15381776
2007-02-01,13,.17148408
2007-02-01,14,.086223342
2007-02-01,16,.090094402
2007-02-01,17,.14117648
2007-02-01,21,.10230692
2007-02-01,22,.045168296
2007-02-01,24,.033817429
2007-02-01,31,.15122932
2007-02-01,32,.097014926
2007-02-01,51,.030769231
2007-02-01,61,.16135217
2007-02-01,62,.22272216
2007-02-01,71,.048780486
2007-02-01,72,.078947365
2007-02-01,81,.049083997
2007-02-01,89,.097004607
2007-02-01,91,.054861851
2007-02-01,99,.077288941
2007-02-01,101,.10897928
2007-02-01,102,.29911995
2007-02-01,103,.37066546
2007-02-01,104,.12615314
2007-02-01,105,.13847765
2007-02-01,106,.11511585
2007-02-01,107,.26382852
2007-02-01,108,.12648702
2007-02-01,109,.15263158
2007-02-01,110,.1441845
2007-02-01,120,.19519366
2007-02-01,131,.16444881
2007-02-01,139,.33797756
2007-02-01,141,.60954481
2007-02-01,142,.32740214
2007-02-01,143,.60633236
2007-02-01,149,.21396397
2007-02-01,151,.14334264
2007-02-01,152,.27262649
2007-02-01,161,.034050666
2007-02-01,162,.1023293
2007-02-01,170,.13412033
2007-02-01,181,.20491622
2007-02-01,182,.37288135
2007-02-01,191,.075675674
2007-02-01,192,.19956678
2007-02-01,201,.12773123
2007-02-01,202,.24936387
2007-02-01,203,.22314049
2007-02-01,204,.24444444
2007-02-01,210,.3558794
2007-02-01,221,.10970464
2007-02-01,222,.13712817
2007-02-01,231,.069516279
2007-02-01,239,.069344558
2007-02-01,241,.060079597
2007-02-01,242,.070252471
2007-02-01,243,.057085995
2007-02-01,251,.051893115
2007-02-01,252,.10769231
2007-02-01,259,.095391393
2007-02-01,261,.29499999
2007-02-01,262,.26729912
2007-02-01,263,.23595506
2007-02-01,264,.30114749
2007-02-01,265,.17558528
2007-02-01,266,.22557905
2007-02-01,267,.33398822
2007-02-01,268,.2857143
2007-02-01,271,.1118705
2007-02-01,272,.059016392
2007-02-01,273,.09823484
2007-02-01,274,.14541258
2007-02-01,275,.12134503
2007-02-01,279,.1819784
2007-02-01,281,.092354186
2007-02-01,282,.077337787
2007-02-01,291,.060429052
2007-02-01,292,.043991074
2007-02-01,293,.1149044
2007-02-01,301,.0526
2007-02-01,302,.049741488
2007-02-01,303,.13189189
2007-02-01,309,.086428836
2007-02-01,310,.12762105
2007-02-01,321,.34533334
2007-02-01,322,.22916667
2007-02-01,323,.24784216
2007-02-01,324,.28176102
2007-02-01,329,.21158369
2007-02-01,331,.081543542
2007-02-01,332,.10997067
2007-02-01,351,.1500864
2007-02-01,352,.21429923
2007-02-01,353,0
2007-02-01,360,.18213154
2007-02-01,370,.11021814
2007-02-01,381,.051071789
2007-02-01,382,.08650519
2007-02-01,390,.15801887
2007-02-01,410,.029684111
2007-02-01,421,.068292908
2007-02-01,422,.045184407
2007-02-01,429,.043147206
2007-02-01,431,.047664624
2007-02-01,432,.059988994
2007-02-01,433,.054103687
2007-02-01,439,.036737885
2007-02-01,451,.20042636
2007-02-01,452,.075434268
2007-02-01,453,.13326026
2007-02-01,454,.19285943
2007-02-01,461,.17843342
2007-02-01,462,.16859876
2007-02-01,463,.21651073
2007-02-01,464,.36782905
2007-02-01,465,.23828457
2007-02-01,466,.16116434
2007-02-01,469,.26508871
2007-02-01,471,.41548803
2007-02-01,472,.3388373
2007-02-01,473,.28557131
2007-02-01,474,.2964859
2007-02-01,475,.25805953
2007-02-01,476,.49008811
2007-02-01,477,.59682757
2007-02-01,478,.39951575
2007-02-01,479,.41626793
2007-02-01,491,.092574917
2007-02-01,492,.052316085
2007-02-01,493,.098665118
2007-02-01,501,.20489408
2007-02-01,502,.125
2007-02-01,511,.38056609
2007-02-01,512,.29488575
2007-02-01,521,.043755699
2007-02-01,522,.16171369
2007-02-01,523,.24507158
2007-02-01,524,.11865208
2007-02-01,530,.15030548
2007-02-01,551,.54161668
2007-02-01,552,.35036495
2007-02-01,561,.35843095
2007-02-01,562,.42643979
2007-02-01,581,.373647
2007-02-01,591,.4079414
2007-02-01,592,.280543
2007-02-01,601,.305215
2007-02-01,602,.25650188
2007-02-01,611,.34297001
2007-02-01,612,.4732019
2007-02-01,613,.31044775
2007-02-01,614,.42817855
2007-02-01,619,.32881498
2007-02-01,620,.31394714
2007-02-01,631,.3854816
2007-02-01,639,.34262407
2007-02-01,641,.40143222
2007-02-01,642,.47826087
2007-02-01,643,.42307693
2007-02-01,649,.49712563
2007-02-01,651,.5077796
2007-02-01,652,.40952381
2007-02-01,653,.59112418
2007-02-01,661,.4173272
2007-02-01,662,.53630304
2007-02-01,663,.46469834
2007-02-01,681,.30913332
2007-02-01,682,.39542928
2007-02-01,691,.69348675
2007-02-01,692,.62781173
2007-02-01,702,.33971977
2007-02-01,711,.13055703
2007-02-01,712,.24426045
2007-02-01,721,.54757041
2007-02-01,722,.66089964
2007-02-01,731,.45988709
2007-02-01,732,.56530976
2007-02-01,741,.49285713
2007-02-01,742,.44241792
2007-02-01,749,.2905584
2007-02-01,750,.4492161
2007-02-01,771,.10955841
2007-02-01,772,.43130434
2007-02-01,773,.15271914
2007-02-01,774,.30225563
2007-02-01,780,.26485467
2007-02-01,791,.52432287
2007-02-01,801,.092178673
2007-02-01,811,.33941606
2007-02-01,812,.49232346
2007-02-01,813,.12503368
2007-02-01,821,.31506479
2007-02-01,822,.56937224
2007-02-01,823,.45797101
2007-02-01,829,.35107666
2007-02-01,841,.46796623
2007-02-01,842,.14078283
2007-02-01,843,.58641976
2007-02-01,851,.8052181
2007-02-01,852,.70626867
2007-02-01,853,.51163936
2007-02-01,854,.74896801
2007-02-01,855,.57977527
2007-02-01,861,.74643564
2007-02-01,862,.81990117
2007-02-01,863,.74974763
2007-02-01,864,.37534195
2007-02-01,869,.70983267
2007-02-01,870,.86717671
2007-02-01,880,.73260975
2007-02-01,900,.35303169
2007-02-01,910,.57410359
2007-02-01,920,.47864476
2007-02-01,931,.26791766
2007-02-01,939,.42734471
2007-02-01,941,.52664578
2007-02-01,942,.44537917
2007-02-01,949,.47648454
2007-02-01,951,.17371847
2007-02-01,952,.16345468
2007-02-01,960,.43032444
2007-02-01,990,.53493613
2007-02-01,999999,.31141201
2007-03-01,11,.11379568
2007-03-01,12,.16092923
2007-03-01,13,.17029549
2007-03-01,14,.085533187
2007-03-01,16,.089087524
2007-03-01,17,.13675214
2007-03-01,21,.099950276
2007-03-01,22,.044095505
2007-03-01,24,.035599999
2007-03-01,31,.14415897
2007-03-01,32,.10791367
2007-03-01,51,.032608695
2007-03-01,61,.16183746
2007-03-01,62,.22197558
2007-03-01,71,.052631579
2007-03-01,72,.080691129
2007-03-01,81,.050128315
2007-03-01,89,.10209856
2007-03-01,91,.054538257
2007-03-01,99,.073068894
2007-03-01,101,.10896664
2007-03-01,102,.30042037
2007-03-01,103,.35020176
2007-03-01,104,.13061388
2007-03-01,105,.13527314
2007-03-01,106,.11468264
2007-03-01,107,.26070464
