fecha,zona_prov,share_mujer
2013-06-01,SALTA,.38306308
2013-06-01,SAN JUAN,.33586732
2013-06-01,SAN LUIS,.3656694
2013-06-01,SANTA CRUZ,.22796507
2013-06-01,SANTA FE,.37855753
2013-06-01,SANTIAGO DEL ESTERO,.38969907
2013-06-01,TIERRA DEL FUEGO,.39665753
2013-06-01,TUCUMAN,.34881243
2013-07-01,BUENOS AIRES,.39730906
2013-07-01,CAPITAL FEDERAL,.40300635
2013-07-01,CATAMARCA,.38485524
2013-07-01,CHACO,.30279174
2013-07-01,CHUBUT,.36719486
2013-07-01,CORDOBA,.39073116
2013-07-01,CORRIENTES,.36347544
2013-07-01,ENTRE RIOS,.39040786
2013-07-01,FORMOSA,.38564408
2013-07-01,JUJUY,.40655744
2013-07-01,LA PAMPA,.42149836
2013-07-01,LA RIOJA,.40252513
2013-07-01,MENDOZA,.38510504
2013-07-01,MISIONES,.36233902
2013-07-01,NEUQUEN,.38045216
2013-07-01,RIO NEGRO,.40768686
2013-07-01,SALTA,.3831858
2013-07-01,SAN JUAN,.33431736
2013-07-01,SAN LUIS,.36609021
2013-07-01,SANTA CRUZ,.23037051
2013-07-01,SANTA FE,.37919226
2013-07-01,SANTIAGO DEL ESTERO,.38935927
2013-07-01,TIERRA DEL FUEGO,.39886883
2013-07-01,TUCUMAN,.34693265
2013-08-01,BUENOS AIRES,.39688578
2013-08-01,CAPITAL FEDERAL,.40338948
2013-08-01,CATAMARCA,.38555083
2013-08-01,CHACO,.30644873
2013-08-01,CHUBUT,.36825135
2013-08-01,CORDOBA,.39152861
2013-08-01,CORRIENTES,.36354524
2013-08-01,ENTRE RIOS,.39054838
2013-08-01,FORMOSA,.38505855
2013-08-01,JUJUY,.40671962
2013-08-01,LA PAMPA,.42164037
2013-08-01,LA RIOJA,.40246519
2013-08-01,MENDOZA,.38709855
2013-08-01,MISIONES,.36399388
2013-08-01,NEUQUEN,.37870559
2013-08-01,RIO NEGRO,.40854183
