fecha,zona_prov,share_mujer
2007-06-01,SALTA,.23879254
2007-06-01,SAN JUAN,.23543613
2007-06-01,SAN LUIS,.24314432
2007-06-01,SANTA CRUZ,.19981697
2007-06-01,SANTA FE,.27527118
2007-06-01,SANTIAGO DEL ESTERO,.26571891
2007-06-01,TIERRA DEL FUEGO,.28680906
2007-06-01,TUCUMAN,.23439085
2007-07-01,BUENOS AIRES,.30405772
2007-07-01,CAPITAL FEDERAL,.36487249
2007-07-01,CATAMARCA,.23811968
2007-07-01,CHACO,.21664247
2007-07-01,CHUBUT,.23887409
2007-07-01,CORDOBA,.30051419
2007-07-01,CORRIENTES,.18619555
2007-07-01,ENTRE RIOS,.25689906
2007-07-01,FORMOSA,.18524197
2007-07-01,JUJUY,.20733112
2007-07-01,LA PAMPA,.2557283
2007-07-01,LA RIOJA,.24263774
2007-07-01,MENDOZA,.26557806
2007-07-01,MISIONES,.17823245
2007-07-01,NEUQUEN,.2499104
2007-07-01,RIO NEGRO,.30920953
2007-07-01,SALTA,.23812971
2007-07-01,SAN JUAN,.23381951
2007-07-01,SAN LUIS,.24460474
2007-07-01,SANTA CRUZ,.20881496
2007-07-01,SANTA FE,.27529621
2007-07-01,SANTIAGO DEL ESTERO,.27071625
2007-07-01,TIERRA DEL FUEGO,.28677768
2007-07-01,TUCUMAN,.23421942
2007-08-01,BUENOS AIRES,.30422452
2007-08-01,CAPITAL FEDERAL,.36482704
2007-08-01,CATAMARCA,.23682137
2007-08-01,CHACO,.21886875
2007-08-01,CHUBUT,.23967688
2007-08-01,CORDOBA,.3011024
2007-08-01,CORRIENTES,.18952328
2007-08-01,ENTRE RIOS,.25545895
2007-08-01,FORMOSA,.18263973
2007-08-01,JUJUY,.20642872
2007-08-01,LA PAMPA,.2541661
2007-08-01,LA RIOJA,.24132691
2007-08-01,MENDOZA,.26619849
2007-08-01,MISIONES,.17913701
2007-08-01,NEUQUEN,.25018108
2007-08-01,RIO NEGRO,.31131002
2007-08-01,SALTA,.23669678
2007-08-01,SAN JUAN,.23506039
2007-08-01,SAN LUIS,.24499248
2007-08-01,SANTA CRUZ,.20896859
2007-08-01,SANTA FE,.27436745
2007-08-01,SANTIAGO DEL ESTERO,.2700296
2007-08-01,TIERRA DEL FUEGO,.28911719
2007-08-01,TUCUMAN,.2373188
2007-09-01,BUENOS AIRES,.30401903
2007-09-01,CAPITAL FEDERAL,.36488587
2007-09-01,CATAMARCA,.23756585
2007-09-01,CHACO,.2222878
2007-09-01,CHUBUT,.23909581
2007-09-01,CORDOBA,.30153236
2007-09-01,CORRIENTES,.19135869
2007-09-01,ENTRE RIOS,.25547427
2007-09-01,FORMOSA,.1820305
2007-09-01,JUJUY,.20340249
2007-09-01,LA PAMPA,.25318477
2007-09-01,LA RIOJA,.24213406
2007-09-01,MENDOZA,.26820961
2007-09-01,MISIONES,.18021286
2007-09-01,NEUQUEN,.25090668
2007-09-01,RIO NEGRO,.31110641
2007-09-01,SALTA,.23183413
2007-09-01,SAN JUAN,.23770994
2007-09-01,SAN LUIS,.24606033
2007-09-01,SANTA CRUZ,.20846486
2007-09-01,SANTA FE,.27609524
2007-09-01,SANTIAGO DEL ESTERO,.26562068
2007-09-01,TIERRA DEL FUEGO,.28671831
2007-09-01,TUCUMAN,.23967569
2007-10-01,BUENOS AIRES,.30428457
2007-10-01,CAPITAL FEDERAL,.36553633
2007-10-01,CATAMARCA,.24034233
2007-10-01,CHACO,.22326776
2007-10-01,CHUBUT,.23869634
